# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
WriteAction.executionsCount,1761239251332000000,1761239257407000000,1
FlushQueue.executionTimeMaxNs,1761239251332000000,1761239257407000000,0
AWTEventQueue.eventsDispatched,1761239251332000000,1761239257407000000,0
FlushQueue.waitingTimeAvgNs,1761239251332000000,1761239257407000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1761239251332000000,1761239257407000000,30316
ReadAction.executionsCount,1761239251332000000,1761239257407000000,48807
AWTEventQueue.dispatchTimeAvgNs,1761239251332000000,1761239257407000000,0.0
FlushQueue.queueSizeMax,1761239251332000000,1761239257407000000,0
NonBlockingReadAction.failedExecutionTimeUs,1761239251332000000,1761239257407000000,0
FlushQueue.queueSizeAvg,1761239251332000000,1761239257407000000,0.0
FlushQueue.tasksExecuted,1761239251332000000,1761239257407000000,0
AWTEventQueue.dispatchTimeTotalNS,1761239251332000000,1761239257407000000,5176554977
FlushQueue.waitingTime90PNs,1761239251332000000,1761239257407000000,0
FlushQueue.executionTimeAvgNs,1761239251332000000,1761239257407000000,0.0
NonBlockingReadAction.failedExecutionsCount,1761239251332000000,1761239257407000000,0
NonBlockingReadAction.finalizedExecutionsCount,1761239251332000000,1761239257407000000,14
AWTEventQueue.dispatchTimeMaxNs,1761239251332000000,1761239257407000000,0
FlushQueue.queueSize90P,1761239251332000000,1761239257407000000,0
FlushQueue.executionTime90PNs,1761239251332000000,1761239257407000000,0
FlushQueue.waitingTimeMaxNs,1761239251332000000,1761239257407000000,0
AWTEventQueue.dispatchTime90PNs,1761239251332000000,1761239257407000000,0
workspaceModel.init.bridges.ms,1761239251332000000,1761239257407000000,0
workspaceModel.updates.precise.ms,1761239251332000000,1761239257407000000,0
workspaceModel.update.unloaded.entities.ms,1761239251332000000,1761239257407000000,0
workspaceModel.loading.total.ms,1761239251332000000,1761239257407000000,21
workspaceModel.replace.project.model.ms,1761239251332000000,1761239257407000000,0
workspaceModel.collect.changes.ms,1761239251332000000,1761239257407000000,0
workspaceModel.updates.count,1761239251332000000,1761239257407000000,0
workspaceModel.initializing.ms,1761239251332000000,1761239257407000000,0
workspaceModel.loading.from.cache.ms,1761239251332000000,1761239257407000000,15
workspaceModel.check.recursive.update.ms,1761239251332000000,1761239257407000000,0
workspaceModel.updates.ms,1761239251332000000,1761239257407000000,0
workspaceModel.to.snapshot.ms,1761239251332000000,1761239257407000000,0
workspaceModel.pre.handlers.ms,1761239251332000000,1761239257407000000,0
FilePageCache.pageLoads,1761239251332000000,1761239257407000000,193
FilePageCacheLockFree.totalPagesWriteMs,1761239251332000000,1761239257407000000,0
DirectByteBufferAllocator.disposed,1761239251332000000,1761239257407000000,150
FilePageCacheLockFree.totalPageAllocationsWaited,1761239251332000000,1761239257407000000,0
FilePageCacheLockFree.totalPagesAllocated,1761239251332000000,1761239257407000000,2
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761239251332000000,1761239257407000000,41959424
FileChannelInterruptsRetryer.totalRetriedAttempts,1761239251332000000,1761239257407000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1761239251332000000,1761239257407000000,14
FilePageCacheLockFree.totalPagesReadMs,1761239251332000000,1761239257407000000,2
FilePageCache.uncachedFileAccess,1761239251332000000,1761239257407000000,109
DirectByteBufferAllocator.reclaimed,1761239251332000000,1761239257407000000,45
FilePageCache.maxRegisteredFiles,1761239251332000000,1761239257407000000,529
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761239251332000000,1761239257407000000,2
FilePageCacheLockFree.housekeeperTurnsSkipped,1761239251332000000,1761239257407000000,4575
FilePageCache.capacityInBytes,1761239251332000000,1761239257407000000,503316478
FilePageCacheLockFree.totalBytesRequested,1761239251332000000,1761239257407000000,32768
FilePageCacheLockFree.heapBytesInUse,1761239251332000000,1761239257407000000,0
FilePageCache.totalPageLoadsUs,1761239251332000000,1761239257407000000,79823
FilePageCache.disposedBuffers,1761239251332000000,1761239257407000000,193
FilePageCacheLockFree.totalPagesWritten,1761239251332000000,1761239257407000000,0
StorageLockContext.competingThreads.max,1761239251332000000,1761239257407000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1761239251332000000,1761239257407000000,308
DirectByteBufferAllocator.misses,1761239251332000000,1761239257407000000,192
FilePageCache.maxCacheSizeInBytes,1761239251332000000,1761239257407000000,199229440
FilePageCacheLockFree.totalNativeBytesReclaimed,1761239251332000000,1761239257407000000,16384
FilePageCacheLockFree.totalHeapBytesReclaimed,1761239251332000000,1761239257407000000,0
FilePageCache.pageFastCacheHits,1761239251332000000,1761239257407000000,3820
FilePageCacheLockFree.totalBytesWritten,1761239251332000000,1761239257407000000,0
FilePageCacheLockFree.nativeBytesInUse,1761239251332000000,1761239257407000000,0
FilePageCacheLockFree.totalBytesRead,1761239251332000000,1761239257407000000,16
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761239251332000000,1761239257407000000,41959424
FilePageCache.totalPageDisposalsUs,1761239251332000000,1761239257407000000,816
FilePageCacheLockFree.totalPagesRequested,1761239251332000000,1761239257407000000,4
FilePageCache.pageLoadsAboveSizeThreshold,1761239251332000000,1761239257407000000,0
StorageLockContext.competingThreads.avg,1761239251332000000,1761239257407000000,0.0
FilePageCacheLockFree.totalHeapBytesAllocated,1761239251332000000,1761239257407000000,0
MappedFileStorage.totalPagesMapped,1761239251332000000,1761239257407000000,0
MappedFileStorage.totalBytesMapped,1761239251332000000,1761239257407000000,0
StorageLockContext.competingThreads.90P,1761239251332000000,1761239257407000000,0
DirectByteBufferAllocator.hits,1761239251332000000,1761239257407000000,3
MappedFileStorage.storages,1761239251332000000,1761239257407000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761239251332000000,1761239257407000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761239251332000000,1761239257407000000,2
FilePageCacheLockFree.housekeeperTimeSpentMs,1761239251332000000,1761239257407000000,25
FilePageCacheLockFree.totalNativeBytesAllocated,1761239251332000000,1761239257407000000,16384
FilePageCacheLockFree.totalPagesRequestsMs,1761239251332000000,1761239257407000000,6
FilePageCache.pageHits,1761239251332000000,1761239257407000000,0
