# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.ms,1761284543607000000,1761284549517000000,0
workspaceModel.check.recursive.update.ms,1761284543607000000,1761284549517000000,0
workspaceModel.pre.handlers.ms,1761284543607000000,1761284549517000000,0
workspaceModel.replace.project.model.ms,1761284543607000000,1761284549517000000,0
workspaceModel.to.snapshot.ms,1761284543607000000,1761284549517000000,0
workspaceModel.updates.count,1761284543607000000,1761284549517000000,0
workspaceModel.loading.total.ms,1761284543607000000,1761284549517000000,20
workspaceModel.updates.precise.ms,1761284543607000000,1761284549517000000,0
workspaceModel.initializing.ms,1761284543607000000,1761284549517000000,0
workspaceModel.update.unloaded.entities.ms,1761284543607000000,1761284549517000000,0
workspaceModel.init.bridges.ms,1761284543607000000,1761284549517000000,0
workspaceModel.collect.changes.ms,1761284543607000000,1761284549517000000,0
workspaceModel.loading.from.cache.ms,1761284543607000000,1761284549517000000,14
workspaceModel.mutableEntityStorage.add.entity.ms,1761284543607000000,1761284549517000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761284543607000000,1761284549517000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761284543607000000,1761284549517000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761284543607000000,1761284549517000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1761284543607000000,1761284549517000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1761284543607000000,1761284549517000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761284543607000000,1761284549517000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1761284543607000000,1761284549517000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761284543607000000,1761284549517000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761284543607000000,1761284549517000000,0
workspaceModel.save.cache.to.file.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1761284543607000000,1761284549517000000,0
workspaceModel.load.cache.from.file.ms,1761284543607000000,1761284549517000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761284543607000000,1761284549517000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761284543607000000,1761284549517000000,2
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761284543607000000,1761284549517000000,2
FilePageCacheLockFree.housekeeperTurnsDone,1761284543607000000,1761284549517000000,14
FilePageCacheLockFree.totalPagesRequestsMs,1761284543607000000,1761284549517000000,1
MappedFileStorage.totalPagesMapped,1761284543607000000,1761284549517000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1761284543607000000,1761284549517000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761284543607000000,1761284549517000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761284543607000000,1761284549517000000,13
FilePageCacheLockFree.totalNativeBytesReclaimed,1761284543607000000,1761284549517000000,16384
DirectByteBufferAllocator.disposed,1761284543607000000,1761284549517000000,150
FileChannelInterruptsRetryer.totalRetriedAttempts,1761284543607000000,1761284549517000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761284543607000000,1761284549517000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1761284543607000000,1761284549517000000,0
FilePageCacheLockFree.totalPagesAllocated,1761284543607000000,1761284549517000000,2
FilePageCache.capacityInBytes,1761284543607000000,1761284549517000000,503316478
FilePageCache.maxCacheSizeInBytes,1761284543607000000,1761284549517000000,199229440
FilePageCache.uncachedFileAccess,1761284543607000000,1761284549517000000,109
FilePageCacheLockFree.totalPagesRequested,1761284543607000000,1761284549517000000,4
FilePageCacheLockFree.housekeeperTurnsSkipped,1761284543607000000,1761284549517000000,4513
FilePageCache.pageLoads,1761284543607000000,1761284549517000000,193
MappedFileStorage.storages,1761284543607000000,1761284549517000000,0
FilePageCache.totalPageLoadsUs,1761284543607000000,1761284549517000000,83631
StorageLockContext.competingThreads.avg,1761284543607000000,1761284549517000000,0.0
FilePageCacheLockFree.totalPagesWritten,1761284543607000000,1761284549517000000,0
FilePageCacheLockFree.totalBytesRequested,1761284543607000000,1761284549517000000,32768
DirectByteBufferAllocator.reclaimed,1761284543607000000,1761284549517000000,45
FilePageCache.maxRegisteredFiles,1761284543607000000,1761284549517000000,529
FilePageCacheLockFree.totalPagesHandedOver,1761284543607000000,1761284549517000000,0
DirectByteBufferAllocator.hits,1761284543607000000,1761284549517000000,3
FilePageCache.pageFastCacheHits,1761284543607000000,1761284549517000000,3819
