# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.executionTimeAvgNs,1761282729484000000,1761282736231000000,47325.10825545171
ReadAction.executionsCount,1761282729484000000,1761282736231000000,48795
FlushQueue.executionTime90PNs,1761282729484000000,1761282736231000000,47615
FlushQueue.tasksExecuted,1761282729484000000,1761282736231000000,1284
NonBlockingReadAction.failedExecutionsCount,1761282729484000000,1761282736231000000,0
AWTEventQueue.dispatchTimeTotalNS,1761282729484000000,1761282736231000000,5778846875
AWTEventQueue.dispatchTime90PNs,1761282729484000000,1761282736231000000,23551
FlushQueue.waitingTime90PNs,1761282729484000000,1761282736231000000,2835349503
FlushQueue.queueSize90P,1761282729484000000,1761282736231000000,385
FlushQueue.executionTimeMaxNs,1761282729484000000,1761282736231000000,17432575
NonBlockingReadAction.failedExecutionTimeUs,1761282729484000000,1761282736231000000,0
NonBlockingReadAction.finalizedExecutionsCount,1761282729484000000,1761282736231000000,14
FlushQueue.queueSizeMax,1761282729484000000,1761282736231000000,489
FlushQueue.waitingTimeMaxNs,1761282729484000000,1761282736231000000,4429185023
WriteAction.executionsCount,1761282729484000000,1761282736231000000,1
AWTEventQueue.dispatchTimeMaxNs,1761282729484000000,1761282736231000000,5670699007
AWTEventQueue.dispatchTimeAvgNs,1761282729484000000,1761282736231000000,3176421.298071625
FlushQueue.queueSizeAvg,1761282729484000000,1761282736231000000,125.28193146417445
FlushQueue.waitingTimeAvgNs,1761282729484000000,1761282736231000000,7.127652566697819E8
NonBlockingReadAction.finalizedExecutionTimeUs,1761282729484000000,1761282736231000000,33337
AWTEventQueue.eventsDispatched,1761282729484000000,1761282736231000000,1815
FilePageCache.pageFastCacheHits,1761282729484000000,1761282736231000000,3820
FilePageCacheLockFree.totalBytesWritten,1761282729484000000,1761282736231000000,0
FilePageCache.maxRegisteredFiles,1761282729484000000,1761282736231000000,529
FilePageCacheLockFree.nativeBytesInUse,1761282729484000000,1761282736231000000,0
FilePageCacheLockFree.totalPagesAllocated,1761282729484000000,1761282736231000000,2
FilePageCacheLockFree.housekeeperTurnsSkipped,1761282729484000000,1761282736231000000,4956
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761282729484000000,1761282736231000000,41959424
FileChannelInterruptsRetryer.totalRetriedAttempts,1761282729484000000,1761282736231000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761282729484000000,1761282736231000000,2
FilePageCacheLockFree.housekeeperTurnsDone,1761282729484000000,1761282736231000000,16
FilePageCacheLockFree.totalNativeBytesReclaimed,1761282729484000000,1761282736231000000,16384
FilePageCache.totalPageDisposalsUs,1761282729484000000,1761282736231000000,491
FilePageCache.uncachedFileAccess,1761282729484000000,1761282736231000000,109
FilePageCacheLockFree.totalHeapBytesAllocated,1761282729484000000,1761282736231000000,0
FilePageCacheLockFree.totalPagesWritten,1761282729484000000,1761282736231000000,0
FilePageCache.disposedBuffers,1761282729484000000,1761282736231000000,193
FilePageCacheLockFree.totalPagesRequestsMs,1761282729484000000,1761282736231000000,3
DirectByteBufferAllocator.hits,1761282729484000000,1761282736231000000,3
