# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761238816589000000,1761238823205000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1761238816589000000,1761238823205000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761238816589000000,1761238823205000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761238816589000000,1761238823205000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761238816589000000,1761238823205000000,0
workspaceModel.load.cache.from.file.ms,1761238816589000000,1761238823205000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1761238816589000000,1761238823205000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761238816589000000,1761238823205000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761238816589000000,1761238823205000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761238816589000000,1761238823205000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1761238816589000000,1761238823205000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761238816589000000,1761238823205000000,0
workspaceModel.save.cache.to.file.ms,1761238816589000000,1761238823205000000,0
AWTEventQueue.dispatchTimeAvgNs,1761238816589000000,1761238823205000000,2982769.895304911
FlushQueue.waitingTimeAvgNs,1761238816589000000,1761238823205000000,6.641617329693252E8
FlushQueue.tasksExecuted,1761238816589000000,1761238823205000000,1304
NonBlockingReadAction.finalizedExecutionsCount,1761238816589000000,1761238823205000000,14
NonBlockingReadAction.failedExecutionsCount,1761238816589000000,1761238823205000000,0
AWTEventQueue.dispatchTimeMaxNs,1761238816589000000,1761238823205000000,5435817983
FlushQueue.executionTimeAvgNs,1761238816589000000,1761238823205000000,45262.837423312885
NonBlockingReadAction.finalizedExecutionTimeUs,1761238816589000000,1761238823205000000,31880
ReadAction.executionsCount,1761238816589000000,1761238823205000000,48795
AWTEventQueue.dispatchTime90PNs,1761238816589000000,1761238823205000000,22783
FlushQueue.queueSizeMax,1761238816589000000,1761238823205000000,489
FlushQueue.executionTimeMaxNs,1761238816589000000,1761238823205000000,17563647
AWTEventQueue.eventsDispatched,1761238816589000000,1761238823205000000,1853
FlushQueue.queueSizeAvg,1761238816589000000,1761238823205000000,125.30291411042944
FlushQueue.executionTime90PNs,1761238816589000000,1761238823205000000,40447
FlushQueue.waitingTime90PNs,1761238816589000000,1761238823205000000,2717908991
WriteAction.executionsCount,1761238816589000000,1761238823205000000,1
FlushQueue.waitingTimeMaxNs,1761238816589000000,1761238823205000000,4261412863
AWTEventQueue.dispatchTimeTotalNS,1761238816589000000,1761238823205000000,5521474897
FlushQueue.queueSize90P,1761238816589000000,1761238823205000000,385
NonBlockingReadAction.failedExecutionTimeUs,1761238816589000000,1761238823205000000,0
workspaceModel.updates.ms,1761238816589000000,1761238823205000000,0
workspaceModel.loading.from.cache.ms,1761238816589000000,1761238823205000000,17
workspaceModel.loading.total.ms,1761238816589000000,1761238823205000000,24
workspaceModel.updates.precise.ms,1761238816589000000,1761238823205000000,0
workspaceModel.init.bridges.ms,1761238816589000000,1761238823205000000,0
workspaceModel.replace.project.model.ms,1761238816589000000,1761238823205000000,0
