# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoadsAboveSizeThreshold,1761285450990000000,1761285456991000000,0
FilePageCache.totalPageDisposalsUs,1761285450990000000,1761285456991000000,853
FilePageCacheLockFree.totalNativeBytesReclaimed,1761285450990000000,1761285456991000000,16384
FilePageCacheLockFree.housekeeperTurnsDone,1761285450990000000,1761285456991000000,14
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761285450990000000,1761285456991000000,41959424
FilePageCache.pageHits,1761285450990000000,1761285456991000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761285450990000000,1761285456991000000,13
StorageLockContext.competingThreads.avg,1761285450990000000,1761285456991000000,0.0
FilePageCache.pageFastCacheHits,1761285450990000000,1761285456991000000,3820
FilePageCache.capacityInBytes,1761285450990000000,1761285456991000000,503316478
FilePageCacheLockFree.totalPagesWritten,1761285450990000000,1761285456991000000,0
FilePageCacheLockFree.totalBytesRead,1761285450990000000,1761285456991000000,16
FilePageCache.pageLoads,1761285450990000000,1761285456991000000,193
FilePageCacheLockFree.totalBytesWritten,1761285450990000000,1761285456991000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761285450990000000,1761285456991000000,0
MappedFileStorage.totalBytesMapped,1761285450990000000,1761285456991000000,0
MappedFileStorage.totalPagesMapped,1761285450990000000,1761285456991000000,0
FilePageCache.maxCacheSizeInBytes,1761285450990000000,1761285456991000000,199229440
FilePageCacheLockFree.nativeBytesInUse,1761285450990000000,1761285456991000000,0
FilePageCache.uncachedFileAccess,1761285450990000000,1761285456991000000,109
FilePageCacheLockFree.totalPagesWriteMs,1761285450990000000,1761285456991000000,0
DirectByteBufferAllocator.reclaimed,1761285450990000000,1761285456991000000,45
FilePageCacheLockFree.totalBytesRequested,1761285450990000000,1761285456991000000,32768
FilePageCache.totalPageLoadsUs,1761285450990000000,1761285456991000000,123941
FilePageCacheLockFree.totalNativeBytesAllocated,1761285450990000000,1761285456991000000,16384
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761285450990000000,1761285456991000000,2
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761285450990000000,1761285456991000000,41959424
FilePageCacheLockFree.totalPagesReadMs,1761285450990000000,1761285456991000000,1
FilePageCache.maxRegisteredFiles,1761285450990000000,1761285456991000000,529
MappedFileStorage.storages,1761285450990000000,1761285456991000000,0
FilePageCacheLockFree.totalPagesRequested,1761285450990000000,1761285456991000000,4
FilePageCacheLockFree.totalPagesReclaimed,1761285450990000000,1761285456991000000,2
FilePageCacheLockFree.totalPagesAllocated,1761285450990000000,1761285456991000000,2
FilePageCacheLockFree.totalHeapBytesAllocated,1761285450990000000,1761285456991000000,0
DirectByteBufferAllocator.disposed,1761285450990000000,1761285456991000000,150
FilePageCacheLockFree.totalPagesRequestsMs,1761285450990000000,1761285456991000000,3
FilePageCacheLockFree.housekeeperTurnsSkipped,1761285450990000000,1761285456991000000,4576
FilePageCacheLockFree.totalPagesHandedOver,1761285450990000000,1761285456991000000,0
DirectByteBufferAllocator.hits,1761285450990000000,1761285456991000000,3
FilePageCache.disposedBuffers,1761285450990000000,1761285456991000000,193
StorageLockContext.competingThreads.max,1761285450990000000,1761285456991000000,0
DirectByteBufferAllocator.misses,1761285450990000000,1761285456991000000,192
MappedFileStorage.totalTimeSpentOnMappingUs,1761285450990000000,1761285456991000000,431
StorageLockContext.competingThreads.90P,1761285450990000000,1761285456991000000,0
FilePageCacheLockFree.heapBytesInUse,1761285450990000000,1761285456991000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761285450990000000,1761285456991000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761285450990000000,1761285456991000000,0
workspaceModel.replace.project.model.ms,1761285450990000000,1761285456991000000,0
workspaceModel.check.recursive.update.ms,1761285450990000000,1761285456991000000,0
workspaceModel.updates.precise.ms,1761285450990000000,1761285456991000000,0
workspaceModel.pre.handlers.ms,1761285450990000000,1761285456991000000,0
workspaceModel.update.unloaded.entities.ms,1761285450990000000,1761285456991000000,0
workspaceModel.init.bridges.ms,1761285450990000000,1761285456991000000,0
workspaceModel.updates.count,1761285450990000000,1761285456991000000,0
workspaceModel.to.snapshot.ms,1761285450990000000,1761285456991000000,0
workspaceModel.initializing.ms,1761285450990000000,1761285456991000000,0
workspaceModel.loading.from.cache.ms,1761285450990000000,1761285456991000000,11
workspaceModel.collect.changes.ms,1761285450990000000,1761285456991000000,0
workspaceModel.loading.total.ms,1761285450990000000,1761285456991000000,18
workspaceModel.updates.ms,1761285450990000000,1761285456991000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761285450990000000,1761285456991000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761285450990000000,1761285456991000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761285450990000000,1761285456991000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1761285450990000000,1761285456991000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761285450990000000,1761285456991000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761285450990000000,1761285456991000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1761285450990000000,1761285456991000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1761285450990000000,1761285456991000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761285450990000000,1761285456991000000,0
workspaceModel.save.cache.to.file.ms,1761285450990000000,1761285456991000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761285450990000000,1761285456991000000,0
workspaceModel.load.cache.from.file.ms,1761285450990000000,1761285456991000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1761285450990000000,1761285456991000000,0
WriteAction.executionsCount,1761285450990000000,1761285456991000000,1
FlushQueue.tasksExecuted,1761285450990000000,1761285456991000000,0
AWTEventQueue.dispatchTimeAvgNs,1761285450990000000,1761285456991000000,0.0
AWTEventQueue.dispatchTime90PNs,1761285450990000000,1761285456991000000,0
FlushQueue.waitingTimeMaxNs,1761285450990000000,1761285456991000000,0
FlushQueue.queueSizeAvg,1761285450990000000,1761285456991000000,0.0
FlushQueue.queueSize90P,1761285450990000000,1761285456991000000,0
AWTEventQueue.dispatchTimeTotalNS,1761285450990000000,1761285456991000000,5138834685
FlushQueue.executionTimeMaxNs,1761285450990000000,1761285456991000000,0
FlushQueue.executionTime90PNs,1761285450990000000,1761285456991000000,0
NonBlockingReadAction.failedExecutionTimeUs,1761285450990000000,1761285456991000000,0
FlushQueue.executionTimeAvgNs,1761285450990000000,1761285456991000000,0.0
ReadAction.executionsCount,1761285450990000000,1761285456991000000,48778
FlushQueue.waitingTimeAvgNs,1761285450990000000,1761285456991000000,0.0
AWTEventQueue.eventsDispatched,1761285450990000000,1761285456991000000,0
AWTEventQueue.dispatchTimeMaxNs,1761285450990000000,1761285456991000000,0
FlushQueue.queueSizeMax,1761285450990000000,1761285456991000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1761285450990000000,1761285456991000000,28700
NonBlockingReadAction.failedExecutionsCount,1761285450990000000,1761285456991000000,0
NonBlockingReadAction.finalizedExecutionsCount,1761285450990000000,1761285456991000000,14
FlushQueue.waitingTime90PNs,1761285450990000000,1761285456991000000,0
